"State_Code","State_Name","District_ID","District_Name","School_ID","School_Name","Combined_Key","Juvenile_Justice_School","CS_Classes_Offered","CS_Hispanic_Male","CS_Hispanic_Female","CS_AmericanIndian_Male","CS_AmericanIndian_Female","CS_Asian_Male","CS_Asian_Female","CS_PacificIslander_Male","CS_PacificIslander_Female","CS_Black_Male","CS_Black_Female","CS_White_Male","CS_White_Female","CS_TwoOrMore_Male","CS_TwoOrMore_Female","CS_Total_Male","CS_Total_Female","CS_EnglishLearner_Male","CS_EnglishLearner_Female","CS_Disability_Male","CS_Disability_Female","SCHOOL_YEAR","VIRTUAL_TEXT","TitleI_Status","school_enrollment","Elementary","Middle","High","sex_female","sex_male","race_american_indian","race_asian","race_black","race_hispanic","race_pacific_islander","race_multiracial","race_white","sex_total","race_total","sex_female_prop","sex_male_prop","race_american_indian_prop","race_asian_prop","race_black_prop","race_hispanic_prop","race_pacific_islander_prop","race_multiracial_prop","race_white_prop","Total_CS_Enrolment","White_CS","Black_CS","Hispanic_CS","Asian_CS","AmericanIndian_CS","Multiracial_CS","Disability_CS","EnglishLearner_CS","Prop_Male_CS","Prop_Female_CS","Race_Total_CS","Race_Exceeds_Total","Total_Race_CS","Prop_Black_CS","Prop_White_CS","Prop_Hispanic_CS","Prop_Asian_CS","Prop_AmericanIndian_CS","Prop_Multiracial_CS","has_CCD_info"
"WA","Washington","5306180","Olympia School District",3205,"Olympia Regional Learning Academy","530618003205","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","Supplemental Virtual","Not_TitleI",570,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"TX","TEXAS","4814430","CLINT ISD",11214,"CARROLL T WELCH EL","481443011214","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","Missing","Schoolwide",3220,1,NA,NA,570,718,0,0,0,1258,2,12,16,1288,1288,0.442546583850932,0.557453416149068,0,0,0,0.976708074534162,0.0015527950310559,0.0093167701863354,0.0124223602484472,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"NM","NEW MEXICO","3501770","MAGDALENA MUNICIPAL SCHOOLS",453,"MAGDALENA ELEMENTARY","350177000453","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","No virtual instruction","Schoolwide",600,1,NA,NA,NA,NA,NA,NA,NA,132,NA,NA,NA,0,132,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"TX","Texas","4837020","Richardson Isd",4148,"Pearce H S","483702004148","No",2,6,0,1,0,1,1,0,0,0,0,20,2,1,0,29,3,1,0,0,0,"2020-2021","Missing","Targeted",11980,NA,NA,1,2346,2446,22,112,278,2130,2,132,2116,4792,4792,0.489565943238731,0.510434056761269,0.00459098497495826,0.0233722871452421,0.0580133555926544,0.44449081803005,0.000417362270450751,0.0275459098497496,0.441569282136895,32,22,0,6,2,1,1,0,1,0.90625,0.09375,32,FALSE,32,0,0.6875,0.1875,0.0625,0.03125,0.03125,TRUE
"OK","OKLAHOMA","4010920","ENID",99998,"LINCOLN ACADEMY","401092099998","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"IA","IOWA","1913200","Grinnell-Newburg Comm School District",790,"Davis Elementary School","191320000790","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","Supplemental Virtual","Targeted",1065,1,NA,NA,NA,NA,NA,NA,14,NA,NA,26,358,0,398,NA,NA,NA,NA,0.0351758793969849,NA,NA,0.0653266331658292,0.899497487437186,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"OH","Ohio","3904368","Bucyrus City",6031,"Bucyrus Middle School","390436806031","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","No virtual instruction","Schoolwide",1240,NA,1,NA,236,260,0,0,16,2,0,28,450,496,496,0.475806451612903,0.524193548387097,0,0,0.032258064516129,0.00403225806451613,0,0.0564516129032258,0.907258064516129,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"NH","NEW HAMPSHIRE","3307115","Wilton-Lyndeboro School District",457,"Wilton-Lyndeboro Senior High School","330711500457","No",5,0,0,0,0,0,0,0,0,0,0,27,19,0,0,27,19,0,0,0,0,"2021-2022","No virtual instruction","Targeted",780,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,302,0,302,NA,NA,NA,NA,NA,NA,NA,NA,1,46,46,0,0,0,0,0,0,0,0.58695652173913,0.41304347826087,46,FALSE,46,0,1,0,0,0,0,TRUE
"KY","Kentucky","2102160","Garrard County",457,"Lancaster Elementary School","210216000457","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","Supplemental Virtual","Schoolwide",2270,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,732,0,732,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"MO","Missouri","2905610","Bosworth R-V",107,"Bosworth High","290561000107","No",1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,1,0,"2020-2021","No virtual instruction","Targeted",110,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,0,0,0,0,1,0,0.5,0.5,6,FALSE,6,0,1,0,0,0,0,TRUE
