"State_Code","State_Name","District_ID","District_Name","School_ID","School_Name","Combined_Key","Juvenile_Justice_School","CS_Classes_Offered","CS_Hispanic_Male","CS_Hispanic_Female","CS_AmericanIndian_Male","CS_AmericanIndian_Female","CS_Asian_Male","CS_Asian_Female","CS_PacificIslander_Male","CS_PacificIslander_Female","CS_Black_Male","CS_Black_Female","CS_White_Male","CS_White_Female","CS_TwoOrMore_Male","CS_TwoOrMore_Female","CS_Total_Male","CS_Total_Female","CS_EnglishLearner_Male","CS_EnglishLearner_Female","CS_Disability_Male","CS_Disability_Female","SCHOOL_YEAR","VIRTUAL_TEXT","TitleI_Status","school_enrollment","Elementary","Middle","High","sex_female","sex_male","race_american_indian","race_asian","race_black","race_hispanic","race_pacific_islander","race_multiracial","race_white","sex_total","race_total","sex_female_prop","sex_male_prop","race_american_indian_prop","race_asian_prop","race_black_prop","race_hispanic_prop","race_pacific_islander_prop","race_multiracial_prop","race_white_prop","Total_CS_Enrolment","White_CS","Black_CS","Hispanic_CS","Asian_CS","AmericanIndian_CS","Multiracial_CS","Disability_CS","EnglishLearner_CS","Prop_Male_CS","Prop_Female_CS","Race_Total_CS","Race_Exceeds_Total","Total_Race_CS","Prop_Black_CS","Prop_White_CS","Prop_Hispanic_CS","Prop_Asian_CS","Prop_AmericanIndian_CS","Prop_Multiracial_CS","has_CCD_info"
"IL","Illinois","1700100","University Of Ill Lab School",4505,"University Of Illinois High Sch","170010004505","No",5,5,8,0,0,30,29,0,0,3,7,27,19,8,5,73,68,0,0,0,0,"2020-2021","Not reported","Mixed",1570,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,46,10,13,59,0,13,0,0,0.517730496453901,0.482269503546099,141,FALSE,141,0.0709219858156028,0.326241134751773,0.0921985815602837,0.418439716312057,0,0.0921985815602837,TRUE
"WI","WISCONSIN","5503180","De Forest Area School District",2368,"Holum Education Center","550318002368","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","No virtual instruction","Not_TitleI",1475,1,NA,NA,NA,NA,NA,12,24,36,NA,28,488,0,588,NA,NA,NA,0.0204081632653061,0.0408163265306122,0.0612244897959184,NA,0.0476190476190476,0.829931972789116,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"NY","NEW YORK","3613740","HARRISON CENTRAL SCHOOL DISTRICT",1125,"PURCHASE SCHOOL","361374001125","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","No virtual instruction","Not_TitleI",1645,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,522,0,522,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"TX","Texas","4819080","Farmersville Isd",1779,"Tatum El","481908001779","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","Missing","Schoolwide",1605,1,NA,NA,306,336,0,4,26,304,2,24,282,642,642,0.476635514018692,0.523364485981308,0,0.00623052959501558,0.0404984423676012,0.473520249221184,0.00311526479750779,0.0373831775700935,0.439252336448598,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"TX","Texas","4823640","Houston Isd",2547,"Osborne El","482364002547","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","Missing","Schoolwide",1300,1,NA,NA,258,262,2,0,280,228,0,2,8,520,520,0.496153846153846,0.503846153846154,0.00384615384615385,0,0.538461538461538,0.438461538461538,0,0.00384615384615385,0.0153846153846154,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"MN","MINNESOTA","2707380","CALEDONIA PUBLIC SCHOOL DISTRICT",3188,"CALEDONIA SENIOR HIGH","270738003188","No",2,0,0,0,0,0,0,0,0,0,0,13,6,0,1,13,7,0,0,0,0,"2021-2022","No virtual instruction","Targeted",1455,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,556,0,556,NA,NA,NA,NA,NA,NA,NA,NA,1,20,19,0,0,0,0,1,0,0,0.65,0.35,20,FALSE,20,0,0.95,0,0,0,0.05,TRUE
"WA","Washington","5302670","Everett School District",402,"Jefferson Elementary","530267000402","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","No virtual instruction","Not_TitleI",2450,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CA","California","0607440","Capistrano Unified",689,"Dana Hills High","060744000689","No",2,7,0,0,0,1,1,0,0,0,0,15,2,0,1,23,4,0,0,0,0,"2020-2021","Not reported","Mixed",11100,NA,NA,1,NA,NA,NA,194,NA,1376,NA,276,2554,0,4400,NA,NA,NA,0.0440909090909091,NA,0.312727272727273,NA,0.0627272727272727,0.580454545454545,27,17,0,7,2,0,1,0,0,0.851851851851852,0.148148148148148,27,FALSE,27,0,0.62962962962963,0.259259259259259,0.0740740740740741,0,0.037037037037037,TRUE
"NE","NEBRASKA","3174820","OMAHA PUBLIC SCHOOLS",1416,"OMAHA NORTH MAGNET HIGH SCHOOL","317482001416","No",34,39,15,3,1,7,2,0,1,108,63,80,29,14,11,251,122,6,2,54,20,"2021-2022","No virtual instruction","Not_TitleI",9480,NA,NA,1,1802,1990,32,86,1836,640,6,220,972,3792,3792,0.475210970464135,0.524789029535865,0.00843881856540084,0.0226793248945148,0.484177215189873,0.168776371308017,0.00158227848101266,0.0580168776371308,0.256329113924051,373,109,171,54,9,4,25,74,8,0.672922252010724,0.327077747989276,372,FALSE,372,0.459677419354839,0.293010752688172,0.145161290322581,0.0241935483870968,0.010752688172043,0.0672043010752688,TRUE
"TN","TENNESSEE","4701110","Elizabethton",355,"West Side Elementary","470111000355","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","No virtual instruction","Schoolwide",1850,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666,0,666,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"PA","PENNSYLVANIA","4205400","Central Dauphin SD",9939,"Lawnton El Sch","420540009939","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","Supplemental Virtual","Schoolwide",1465,1,NA,NA,290,296,6,258,156,52,0,42,72,586,586,0.494880546075085,0.505119453924915,0.0102389078498294,0.440273037542662,0.266211604095563,0.0887372013651877,0,0.0716723549488055,0.122866894197952,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"NY","NEW YORK","3629880","WAPPINGERS CENTRAL SCHOOL DISTRICT",4022,"ROY C KETCHAM SENIOR HIGH SCHOOL","362988004022","No",9,43,15,0,0,15,3,0,0,16,4,76,41,4,4,154,67,1,4,24,8,"2021-2022","No virtual instruction","Not_TitleI",8140,NA,NA,1,NA,NA,NA,128,302,862,NA,68,1890,0,3250,NA,NA,NA,0.0393846153846154,0.0929230769230769,0.265230769230769,NA,0.0209230769230769,0.581538461538462,221,117,20,58,18,0,8,32,5,0.69683257918552,0.30316742081448,221,FALSE,221,0.0904977375565611,0.529411764705882,0.262443438914027,0.081447963800905,0,0.0361990950226244,TRUE
"AR","ARKANSAS","0512060","RUSSELLVILLE SCHOOL DISTRICT",971,"RUSSELLVILLE HIGH SCHOOL","051206000971","No",2,4,2,0,0,0,0,0,0,1,0,13,1,0,0,18,3,4,2,0,1,"2021-2022","Supplemental Virtual","Schoolwide",5840,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,14,1,6,0,0,0,1,6,0.857142857142857,0.142857142857143,21,FALSE,21,0.0476190476190476,0.666666666666667,0.285714285714286,0,0,0,TRUE
"CA","CALIFORNIA","0601418","Woodlake Unified",9659,"Castle Rock Elementary","060141809659","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","Not reported","Mixed",2310,1,NA,NA,NA,NA,NA,NA,NA,850,NA,NA,58,0,908,NA,NA,NA,NA,NA,0.936123348017621,NA,NA,0.0638766519823789,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"MT","Montana","3012300","Geyser K-12 Schools",334,"Geyser School","301230000334","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","No virtual instruction","Targeted",100,1,1,NA,22,18,0,0,0,0,0,0,40,40,40,0.55,0.45,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"NC","NORTH CAROLINA","3701920","Guilford County Schools",801,"Washington Montessori School","370192000801","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","No virtual instruction","Schoolwide",1750,1,NA,NA,NA,NA,NA,4,592,58,NA,30,12,0,696,NA,NA,NA,0.00574712643678161,0.850574712643678,0.0833333333333333,NA,0.0431034482758621,0.0172413793103448,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
